longitude,latitude
145.14534982,-38.12235839
145.14534840,-38.12236135
145.14533792,-38.12238412
145.14533682,-38.12238717
145.14535038,-38.12246201
145.14534517,-38.12235670
145.14520420,-38.12230542
145.14521280,-38.12234056
145.14525500,-38.12235461
145.14524418,-38.12243509
145.14524421,-38.12245074
145.14513209,-38.12233317
145.14511824,-38.12234416
145.14508446,-38.12234606
145.14510655,-38.12241587
145.14511114,-38.12244038
145.14507577,-38.12241426
145.14503883,-38.12239480
145.14504131,-38.12237196
145.14504299,-38.12236067
145.14504659,-38.12233866
145.14503954,-38.12224477
145.14503564,-38.12224125
145.14504412,-38.12225720
145.14504495,-38.12225370
145.14506344,-38.12225469
145.14508020,-38.12226055
145.14478694,-38.12241040
145.14507494,-38.12239745
145.14507493,-38.12239767
145.14507492,-38.12239768
145.14499478,-38.12239669
